 ˝æ›ID,π‹µ¿±‡∫≈,π§◊˜ΩÈ÷ ,π§◊˜Œ¬∂»,π§◊˜—π¡¶,œ‡Ã¨,π‹µ¿∆µ„,π‹µ¿÷’µ„,¡˜≥ÃÕº∫≈,±£Œ¬≤ƒ¡œ,±‰µ»º∂–≈œ¢,±‰π‹æ∂–≈œ¢
'568C9,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,V03102B,2VT03901,S20C15GS-03-04-02,,2A3-2J4,
'568A3,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,V03102A,S20C15GS-03-04-02,,2J2-2J4,
'56889,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,V03102A,2VT03901,S20C15GS-03-04-02,,2A3-2J4,
'56863,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,V03101B,S20C15GS-03-04-01,,2J2-2J1,
'56849,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,V03101B,1VT03901,S20C15GS-03-04-01,,2J1-2A3,
'5681B,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,V03101A,S20C15GS-03-04-01,,2J2-2J1,
'5236E,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,RERS03901,R03104A,S20C15GS-03-04-05,,,
'5235A,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,LERS03901,R03104A,S20C15GS-03-04-05,,,
'52346,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,HERS03904,R03104A,S20C15GS-03-04-05,,,
'52237,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25,L,F03101A,F03102A,S20C15GS-03-04-04,,,
'52223,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25,L,P03102A,F03101A,S20C15GS-03-04-04,,,
'521FF,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25,L,PL03126a,R03103A,S20C15GS-03-04-04,,,
'521EB,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,1VT03113,VP03903,S20C15GS-03-04-04,,2J1-2A3,
'521D7,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,1VT03112,VP03903,S20C15GS-03-04-04,,2J1-2A3,
'521B5,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,E03103B,1VT03901,S20C15GS-03-04-04,,2J1-2A3,
'52199,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,E03103B,CWR03901,S20C15GS-03-04-04,,,
'52185,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,CWS03901,E03103B,S20C15GS-03-04-04,,,
'52179,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.1,G,R03103B,GPR03901,S20C15GS-03-04-04,,,
'52165,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,E03103B,R03103B,S20C15GS-03-04-04,,,
'52146,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,R03103B,S20C15GS-03-04-04,,,
'52132,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,G,HN03901,LN03111,S20C15GS-03-04-04,,2J1-2J2,
'52116,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,R03103A,PL03121a,S20C15GS-03-04-04,,,
'52102,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,E03103A,1VT03901,S20C15GS-03-04-04,,2J1-2A3,
'520EE,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,L,E03103A,R03103A,S20C15GS-03-04-04,,,
'520DA,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,E03103A,CWR03901,S20C15GS-03-04-04,,,
'520C6,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,CWS03901,E03103A,S20C15GS-03-04-04,,,
'520BA,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.1,G,R03103A,GPR03901,S20C15GS-03-04-04,,,
'520A6,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,E03103A,R03103A,S20C15GS-03-04-04,,,
'52087,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,R03103A,S20C15GS-03-04-04,,,
'52073,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,G,HN03901,LN03110,S20C15GS-03-04-04,,2J1-2J2,
'5205F,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,DW03901,R03103A,S20C15GS-03-04-04,,,
'52037,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,DW03901,D03101A,S20C15GS-03-04-03,,,
'52023,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,DW03901,D03101B,S20C15GS-03-04-03,,,
'5200C,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098,G,1VT03111,VP03902B,S20C15GS-03-04-03,,2A3-2J1,
'51FF8,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,D03101B,1VT03901,S20C15GS-03-04-03,,2A3-2J1,
'51FE4,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,G,HN03901,1VT03111,S20C15GS-03-04-03,,2J2-2J1,
'51FCA,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098,G,1VT03110,VP03902A,S20C15GS-03-04-03,,2A3-2J1,
'51FB6,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,D03101A,1VT03901,S20C15GS-03-04-03,,2A3-2J1,
'51FA2,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,G,HN03901,1VT03110,S20C15GS-03-04-03,,2J2-2J1,
'51F96,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,D03101A,CWR03901,S20C15GS-03-04-03,,,
'51F82,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,CWS03901,D03101A,S20C15GS-03-04-03,,,
'51F66,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.25MPa,L,CWR03105,SC03902,S20C15GS-03-04-03,,,
'51F52,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,S,LS03903,D03101A,S20C15GS-03-04-03,,,
'51F3E,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,∏˜”√µ„,S03101B,S20C15GS-03-04-03,,,
'51F2A,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,S03101B,1VT03901,S20C15GS-03-04-03,,,
'51F16,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,G,HN03901,S03101B,S20C15GS-03-04-03,,2J2-2H1,
'51EF2,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,S03101B,V03103,S20C15GS-03-04-03,,,
'51EDE,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,S03101A,PL03113,S20C15GS-03-04-03,,,
'51ECA,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,V03103,P03101,S20C15GS-03-04-03,,,
'51EB6,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.6,L,P03101,◊∞Õ∞,S20C15GS-03-04-03,,,
'51EA2,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.6,L,P03101,R03108,S20C15GS-03-04-03,,,
'51E7A,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,∏˜”√µ„,S03101A,S20C15GS-03-04-03,,,
'51E66,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,S03101A,1VT03901,S20C15GS-03-04-03,,,
'51E52,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,G,HN03901,S03101A,S20C15GS-03-04-03,,2J2-2H1,
'51E3E,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,DW03901,S03101A,S20C15GS-03-04-03,,,
'51E12,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,R03102A,S03101A,S20C15GS-03-04-02,,,
'51DF6,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,E03102B,CWR03901,S20C15GS-03-04-02,,,
'51DE2,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,CWS03901,E03102B,S20C15GS-03-04-02,,,
'51DD6,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.1,G,R03102B,GPR03901,S20C15GS-03-04-02,,,
'51DC2,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,R03102B,E03102B,S20C15GS-03-04-02,,,
'51D9B,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,R03102A,S20C15GS-03-04-02,,,
'51D87,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,G,HN03901,LN03107,S20C15GS-03-04-02,,2J1-2J2,
'51D36,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,E03102A,1VT03901,S20C15GS-03-04-02,,2J1-2A3,
'51D22,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,L,E03102A,R03102A,S20C15GS-03-04-02,,,
'51D0E,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,E03102A,CWR03901,S20C15GS-03-04-02,,,
'51CFA,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,CWS03901,E03102A,S20C15GS-03-04-02,,,
'51CEE,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.1,G,R03102A,GPR03901,S20C15GS-03-04-02,,,
'51CDA,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,R03102A,E03102A,S20C15GS-03-04-02,,,
'51CC6,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,V03102A,PL03106,S20C15GS-03-04-02,,,
'51CA7,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,R03102A,S20C15GS-03-04-02,,,
'51C93,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,G,HN03901,LN03105,S20C15GS-03-04-02,,2J1-2J2,
'51C6B,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03102B,LERR03901,S20C15GS-03-04-02,,,
'51C57,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03102B,HERR03901,S20C15GS-03-04-02,,,
'51C43,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,LERS03901,R03102B,S20C15GS-03-04-02,,,
'51C2F,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,HERS03904,R03102B,S20C15GS-03-04-02,,,
'51C1B,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03102A,LERR03901,S20C15GS-03-04-02,,,
'51C07,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03102A,HERR03901,S20C15GS-03-04-02,,,
'51BF3,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,LERS03901,R03102A,S20C15GS-03-04-02,,,
'51BDF,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,HERS03904,R03102A,S20C15GS-03-04-02,,,
'51BBB,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,1VT03104,VP03901,S20C15GS-03-04-01,,,
'51BA7,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,E03101B,1VT03901,S20C15GS-03-04-01,,,
'51B8B,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,E03101B,CWR03901,S20C15GS-03-04-01,,,
'51B77,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,CWS03901,E03101B,S20C15GS-03-04-01,,,
'51B6B,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.1,G,R03101B,GPR03901,S20C15GS-03-04-01,,,
'51B57,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,R03101B,E03101B,S20C15GS-03-04-01,,,
'51B30,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,R03101B,S20C15GS-03-04-01,,,
'51B1C,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,G,HN03901,LN03103,S20C15GS-03-04-01,,2J2-2H1,
'51AF4,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03101B,RERR03901,S20C15GS-03-04-01,,,
'51AE0,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03101B,LERR03901,S20C15GS-03-04-01,,,
'51AB8,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,RERS03901,R03101B,S20C15GS-03-04-01,,,
'51AA4,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,LERS03901,R03101B,S20C15GS-03-04-01,,,
'51A90,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,HERS03904,R03101B,S20C15GS-03-04-01,,,
'51A7C,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,V03101A,1VT03901,S20C15GS-03-04-01,,2J1-2A3,
'51A68,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,1VT03102,VP03901,S20C15GS-03-04-01,,,
'51A54,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.005,G,E03101A,1VT03901,S20C15GS-03-04-01,,,
'51A40,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,L,E03101A,R03101A,S20C15GS-03-04-01,,,
'51A2C,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,E03101A,CWR03901,S20C15GS-03-04-01,,,
'51A18,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.4MPa,L,CWS03901,E03101A,S20C15GS-03-04-01,,,
'51A0C,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,R03101A,S03101A,S20C15GS-03-04-01,,,
'519ED,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03101A,RERR03901,S20C15GS-03-04-01,,,
'519D9,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03101A,LERR03901,S20C15GS-03-04-01,,,
'519C5,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,R03101A,HERR03901,S20C15GS-03-04-01,,,
'5199D,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,LERS03901,R03101A,S20C15GS-03-04-01,,,
'51989,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,HERS03904,R03101A,S20C15GS-03-04-01,,,
'5197D,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.1,G,R03101A,GPR03901,S20C15GS-03-04-01,,,
'51969,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,-0.098~0.005,G,R03101A,E03101A,S20C15GS-03-04-01,,,
'51955,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.05,L,V03101A,PL03101a,S20C15GS-03-04-01,,,
'51930,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.002MPa,G,LN03901,R03101A,S20C15GS-03-04-01,,,
'5191C,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,G,HN03901,LN03101,S20C15GS-03-04-01,,2J2-2H1,
'51908,YSYZ-25-2A5-H5,““À·““ı•,90°Ê,0.3MPa,L,DW03901-80-1A2-H5,PL03104,S20C15GS-03-04-01,,,
