,Tank-Standard,horizontalTank,GB/T 150.1~150.4-2011《压力容器》
,Tank-Standard,horizontalTank,NB/T47042-2014《卧式容器》
,Tank-Standard,horizontalTank,HG/T 20678-2000《衬里钢壳设计技术规定》
,Tank-Standard,horizontalTank,HG/T 4088-2009《塑料衬里设备 通用技术条件》
,Tank-Standard,horizontalTank,HG/T 20584-2011《钢制化工容器制造技术要求》
,Tank-Standard,horizontalTank,NB/T 47015-2011《压力容器焊接规程》
,Tank-HeadStyle,horizontalTank,除图中注明外，焊接接头型式及尺寸按HG/T20583-2011
,Tank-HeadStyle,horizontalTank,中的规定；角焊缝的焊脚尺寸按较薄板厚度；法兰焊接按相
,Tank-HeadStyle,horizontalTank,应法兰标准中的规定；其余按GB/T 985.1-2008中规定。
,Tank-HeadMaterial,horizontalTank,按NB/T 47014-2011的要求进行焊接工艺评定，并根据
,Tank-HeadMaterial,horizontalTank,焊接工艺评定的结果选择合适的焊接材料；焊接材料应满足
,Tank-HeadMaterial,horizontalTank,NB/T47018-2017的规定。
,Tank-OtherRequest,horizontalTank,1. 工程图上标注的所有厚度仅作参考，最终以施工图设计为准，但施工图设计时该元件的厚度不得小于工程图标注厚度。
,Tank-OtherRequest,horizontalTank,2. 设备内表面要求平整、光滑，内侧转角焊缝应打磨成圆滑过渡R≥5mm。
,Tank-OtherRequest,horizontalTank,3. 本设备采用钢壳内表面衬PE，衬里层厚度≥10mm。
,Tank-OtherRequest,horizontalTank,4. 设备衬里完毕，检验合格后应进行正压、气密性试验和电火花试验。
,Tank-OtherRequest,horizontalTank,5. 接管法兰垫片采用RPTFE，垫片厚度不小于≥3mm，制造厂提供试压垫片及生产用垫片。
,Tank-OtherRequest,horizontalTank,6. 所有接管均采用厚壁管。
,Tank-OtherRequest,horizontalTank,7. 设备制造完毕，碳钢外表面喷砂除锈达Sa2.5级后涂环氧富锌底漆二道，总干膜厚度80μm，环氧云铁中间漆一道，干膜厚度
,Tank-OtherRequest,horizontalTank,50μm；面漆待设备安装后由业主统一涂刷。
,Tank-OtherRequest,horizontalTank,8. 设备供货商应根据竣工图，统计设备用垫片、紧固件的材质、规格及数量清单，并将清单提供给业主。
,Tank-OtherRequest,horizontalTank,9. 设备供货商考虑设置吊装吊耳，供设备安装吊装时使用。吊耳应采用HG/T21574-2008标准或满足其技术要求的其它型式吊耳。
,Tank-OtherRequest,horizontalTank,10. 本设备数量为1台。
,Heater-Standard,Heater,TSG 21-2016《固定式压力容器安全技术监察规程》
,Heater-Standard,Heater,GB/T 150.1~150.4-2011《压力容器》
,Heater-Standard,Heater,GB/T 151-2014《热交换器》
,Heater-Standard,Heater,HG/T 20584-2011《钢制化工容器制造技术要求》
,Heater-Standard,Heater,NB/T 47015-2011《压力容器焊接规程》
,Heater-HeadStyle,Heater,除图中注明外，焊接接头型式及尺寸按HG/T20583-2011
,Heater-HeadStyle,Heater,中的规定；角焊缝的焊脚尺寸按较薄板厚度；法兰焊接按相
,Heater-HeadStyle,Heater,应法兰标准中的规定；其余按GB/T 985.1-2008中规定。
,Heater-HeadMaterial,Heater,按NB/T 47014-2011的要求进行焊接工艺评定，并根据
,Heater-HeadMaterial,Heater,焊接工艺评定的结果选择合适的焊接材料；焊接材料应满足
,Heater-HeadMaterial,Heater,NB/T47018-2017的规定。
,Heater-OtherRequest,Heater,1. 工程图上标注的所有厚度仅作参考，最终以施工图设计为准，但施工图设计时该元件的厚度不得小于工程图标注厚度。
,Heater-OtherRequest,Heater,2. 壳程侧管法兰垫片采用PTFE，管程侧管法兰垫片采用D型缠绕垫（2222）；管箱法兰垫片采用缠绕垫B22；制造厂提供试压
,Heater-OtherRequest,Heater,提供试压垫片及生产用垫片。
,Heater-OtherRequest,Heater,3. 折流板与接管d、e相对位置按本图，接管f、g应避开螺柱布置。
,Heater-OtherRequest,Heater,4. 换热管与管板连接处在壳程水压试验合格后应按HG/T 20584-2011附录A要求进行氨渗漏试验（B法）。
,Heater-OtherRequest,Heater,5. 设备制造完毕，碳钢外表面喷砂除锈达Sa2.5级后涂环氧富锌底漆二道，总干膜厚度80μm，环氧云铁中间漆一道，干膜厚度
,Heater-OtherRequest,Heater,50μm；面漆待设备安装后由业主统一涂刷。
,Heater-OtherRequest,Heater,6. 设备供货商应根据竣工图，统计设备用垫片、紧固件的材质、规格及数量清单，并将清单提供给业主。
,Heater-OtherRequest,Heater,7. 设备供货商考虑设置吊装吊耳，供设备安装吊装时使用。吊耳应采用HG/T21574-2008标准或满足其技术要求的其它型式吊耳。
,Heater-OtherRequest,Heater,8. 本设备数量为1台。
